paper_id,online_weight_update,stateful_agent,partial_verifier,exact_branch_credit,trace_repair_or_reuse,sequential_commit_gate,prequential_future_transfer,hidden_holdout,matched_cost,closest_claim,overlap_risk,notes
vag_precommit_2608.05810,no,no,no,no,yes,yes,no,no,no,"verifier-as-gatekeeper pre-commit skill admission; contamination irreversibility",medium,"Skill (text) level, not parameter; motivates pre-commit gating; no RL."
shepherd_treerl_2605.10913,no,no,no,yes,no,no,no,no,no,"fork-based intra-tree sibling advantage (Tree-GRPO) + reversible traces",high,"Training-time credit via paired forks; no deployment, no partial evidence, no gate. C1 mechanism cell."
appo_2606.12384,no,no,no,yes,no,no,no,no,no,"branching score selection + procedure-level advantage across branched rollouts",medium,"Training-time branch selection + credit; complements our selector/branch protocol design."
craft_2606.29476,no,no,no,yes,no,no,no,no,no,"counterfactual credit from free sibling rollouts (self-distilled RL)",medium,"Training-time; sibling-rollout credit; no deployment/gate."
bipace_2606.25556,no,no,no,yes,no,no,no,no,no,"action-conditioned counterfactual Qhat-Vhat advantages",medium,"Training-time; state-action credit mismatch fix."
ccpo_2603.21563,no,no,no,yes,no,no,no,no,no,"multi-agent counterfactual baselines",low,"Multi-agent setting; not ours."
staror_2606.15197,yes,no,no,partial,no,no,no,no,no,"test-time LoRA-GRPO with MCTS sibling comparison sets (optimization modeling)",high,"Closest to 'deployment-time LoRA RL from intermediate feedback'; narrow domain, per-instance (not stream/prequential), no gate."
sea_eval_2604.08988,no,no,no,no,no,no,yes,no,no,"sequential task-stream benchmark for self-evolving agents (evolutionary gain/stability)",medium,"Evaluation protocol cell; no method. Cite for prequential framing."
evotest_2510.13220,no,no,no,no,no,no,yes,no,no,"J-TTL benchmark + Actor-Evolver config evolution",medium,"Config evolution (prompt/memory/hyperparams), not parameter RL."
evopolicygym_2607.02440,no,no,no,no,no,no,yes,no,no,"fixed-interaction-budget eval, then unseen generalization",medium,"Evaluation protocol cell."
continual_learning_bench_2606.05661,no,no,no,no,no,no,yes,no,no,"multi-episode shared-env agent learning benchmark",low,"Evaluation protocol cell."
beyond_perplexity_2607.00368,n/a,no,no,no,no,no,yes,no,no,"behavioral evaluation framework for TTT deployment-memory claims",medium,"Skeptical eval standards; cite for protocol rigor."
stable_2510.16089,yes,no,no,no,no,yes,no,no,no,"gated LoRA merge (EM/bits/KL gates) for continual learning",medium,"Continual learning (offline streams), not deployment-time RL; gates adapters but no evidence tiers/prequential."
dare_2601.21804,yes,no,no,no,no,no,no,no,no,"distribution-aware reward estimation for TTRL (fixes MV bias)",medium,"Reward-quality cell for math TTRL."
leaf_e_2603.16843,no,no,no,partial,yes,no,no,no,no,"rollback-rebranch corrected traces distilled via SFT",medium,"Repair-then-SFT; no RL update, no gate; strong Family B baseline."
prove_2606.03892,yes,yes,yes,no,no,no,no,no,no,"GRPO in live stateful environments with programmatic reward (train-time)",medium,"Training-time; stateful envs (tau2) + programmatic reward; no deployment loop/gate."
ttt_safety_2605.22984,n/a,no,no,no,no,no,no,no,no,"LoRA TTT undermines safety guardrails (ASR 93-95%)",low,"Risk evidence for C2 motivation."
tmem_2606.04536,yes,no,no,no,no,no,no,no,no,"intra-episode fast-weight LoRA self-evolution",medium,"Parametric memory; self-supervised; no gate/prequential."
sage_acl2026,yes,yes,partial,no,no,no,no,no,no,"skill-library GRPO continual self-improvement (AppWorld)",high,"ACL 2026 same-venue near-miss; GRPO + skills across task chains; no partial-evidence credit, no commit gate, no prequential protocol."
evoharness_rl_2608.05446,yes,no,no,no,no,no,no,no,no,"cost-aware GRPO over harness state policies (offline-trained, online-deployed)",low,"Harness policy learning, not policy parameter adaptation."
slattt_2608.17034,no,no,no,no,no,no,no,no,no,"switching LoRA adapters as a tool mid-trace",low,"Adapter selection, not adaptation."
oel_2603.16856,no,no,no,no,no,no,no,no,no,"online experiential learning (deploy-time knowledge consolidation)",medium,"Consolidation paradigm paper; flags poisoning/forgetting open problems."
evoharness_2608.15071,no,no,no,no,no,no,no,no,no,"context-to-harness skill compilation",low,"External harness; frozen agent."
